date,open,high,low,close,volume,average,barCount
2023-12-22,3733.0,3733.0,3729.0,3729.0,55.0,3733.0,48
2023-12-26,3722.0,3722.0,3722.0,3722.0,0.0,3722.0,0
2023-12-27,3718.0,3728.0,3718.0,3720.0,3.0,3724.7,3
2023-12-28,3710.0,3710.0,3710.0,3710.0,0.0,3710.0,0
2023-12-29,3693.0,3697.0,3681.0,3681.0,7.0,3695.4,7
2024-01-02,3704.0,3704.0,3704.0,3704.0,0.0,3704.0,0
2024-01-03,3693.0,3693.0,3693.0,3693.0,0.0,3693.0,0
2024-01-04,3694.0,3694.0,3694.0,3694.0,0.0,3694.0,0
2024-01-05,3680.0,3680.0,3659.0,3659.0,7.0,3680.0,7
2024-01-08,3607.0,3607.0,3607.0,3607.0,0.0,3607.0,0
2024-01-09,3645.0,3645.0,3645.0,3645.0,0.0,3645.0,0
2024-01-10,3671.0,3697.0,3668.0,3697.0,8.0,3671.6,8
2024-01-11,3739.0,3739.0,3739.0,3739.0,0.0,3739.0,0
2024-01-12,3762.0,3762.0,3762.0,3762.0,0.0,3762.0,0
2024-01-16,3768.0,3814.0,3767.0,3814.0,3.0,3768.3,3
2024-01-17,3789.0,3799.0,3789.0,3799.0,1.0,3789.0,1
2024-01-18,3811.0,3851.0,3811.0,3832.0,18.0,3833.7,17
2024-01-19,3926.0,3926.0,3926.0,3926.0,0.0,3926.0,0
2024-01-22,3923.0,3923.0,3923.0,3923.0,0.0,3923.0,0
2024-01-23,3926.0,3986.0,3926.0,3970.0,4.0,3960.5,4
2024-01-24,4057.0,4129.0,4051.0,4110.0,218.0,4088.6,218
2024-01-25,4112.0,4112.0,4028.0,4028.0,7.0,4071.1,7
2024-01-26,4076.0,4076.0,4076.0,4076.0,0.0,4076.0,0
2024-01-29,4095.0,4128.0,4095.0,4128.0,1.0,4095.0,1
2024-01-30,4176.0,4225.0,4176.0,4199.0,2.0,4200.5,2
2024-01-31,4237.0,4250.0,4217.0,4226.0,12.0,4231.7,12
2024-02-01,4227.0,4323.0,4223.0,4323.0,93.0,4281.8,92
2024-02-02,4310.0,4370.0,4310.0,4360.0,83.0,4362.1,79
2024-02-05,4383.0,4507.0,4383.0,4507.0,199.0,4440.5,197
2024-02-06,4576.0,4576.0,4566.0,4566.0,1.0,4576.0,1
2024-02-07,4648.0,4648.0,4643.0,4643.0,3.0,4645.3,3
2024-02-08,4672.0,4807.0,4666.0,4740.0,25.0,4723.2,25
2024-02-09,4815.0,4815.0,4608.0,4681.0,8.0,4710.9,8
2024-02-12,4665.0,4686.0,4635.0,4673.0,16.0,4647.8,16
2024-02-13,4683.0,4766.0,4683.0,4763.0,9.0,4741.9,9
2024-02-14,4748.0,4774.0,4712.0,4774.0,7.0,4725.6,7
2024-02-15,4883.0,4885.0,4866.0,4866.0,2.0,4884.0,2
2024-02-16,4829.0,4829.0,4701.0,4710.0,6.0,4733.0,6
2024-02-20,4732.0,4827.0,4732.0,4811.0,4.0,4794.5,4
2024-02-21,4894.0,4961.0,4880.0,4883.0,12.0,4910.5,12
2024-02-22,4947.0,4947.0,4752.0,4836.0,34.0,4808.8,34
2024-02-23,4952.0,4961.0,4904.0,4904.0,13.0,4927.1,13
2024-02-26,4885.0,4985.0,4837.0,4928.0,71.0,4930.0,71
2024-02-27,4965.0,5034.0,4935.0,4997.0,136.0,4974.2,136
2024-02-28,5000.0,5000.0,4800.0,4800.0,791.0,4840.0,758
2024-02-29,4766.0,4857.0,4723.0,4758.0,294.0,4796.3,294
2024-03-01,4803.0,4824.0,4737.0,4814.0,147.0,4779.9,147
2024-03-04,4844.0,4904.0,4820.0,4904.0,133.0,4850.9,133
2024-03-05,4897.0,4897.0,4795.0,4874.0,14.0,4847.9,14
2024-03-06,4887.0,4942.0,4777.0,4921.0,69.0,4858.3,69
2024-03-07,4907.0,4954.0,4859.0,4946.0,57.0,4889.2,57
2024-03-08,4858.0,4937.0,4845.0,4879.0,190.0,4868.8,188
2024-03-11,4900.0,4962.0,4871.0,4871.0,110.0,4921.1,110
2024-03-12,4876.0,4926.0,4847.0,4908.0,214.0,4901.1,214
2024-03-13,4900.0,4900.0,4810.0,4822.0,24.0,4865.0,24
2024-03-14,4840.0,4893.0,4692.0,4692.0,305.0,4777.3,235
2024-03-15,4684.0,5043.0,4684.0,4917.0,303.0,4793.8,173
2024-03-18,4983.0,5065.0,4903.0,4922.0,98.0,4955.8,98
2024-03-19,4932.0,5003.0,4870.0,4906.0,112.0,4956.9,112
2024-03-20,4862.0,5114.0,4855.0,5048.0,140.0,5001.7,138
2024-03-21,5121.0,5182.0,5121.0,5182.0,20.0,5148.3,20
2024-03-22,5156.0,5291.0,5156.0,5291.0,22.0,5230.3,22
2024-03-25,5365.0,5647.0,5365.0,5647.0,56.0,5454.9,56
2024-03-26,5955.0,5968.0,5594.0,5734.0,106.0,5858.7,104
2024-03-27,5420.0,5824.0,5420.0,5801.0,61.0,5706.2,61
2024-03-28,5901.0,6043.0,5855.0,6007.0,28.0,5972.3,28
2024-03-29,6007.0,6007.0,6007.0,6007.0,0.0,6007.0,0
2024-04-01,6130.0,6586.0,6130.0,6467.0,28.0,6374.2,28
2024-04-02,6470.0,6470.0,6190.0,6324.0,277.0,6359.8,277
2024-04-03,6286.0,6417.0,6000.0,6157.0,70.0,6244.3,69
2024-04-04,5880.0,6175.0,5728.0,6094.0,73.0,5872.8,73
2024-04-05,6200.0,6362.0,6145.0,6335.0,98.0,6234.5,98
2024-04-08,6384.0,6575.0,6306.0,6458.0,160.0,6498.6,160
2024-04-09,6323.0,6527.0,6313.0,6488.0,212.0,6367.3,210
2024-04-10,6513.0,6617.0,6490.0,6536.0,104.0,6559.6,104
2024-04-11,6509.0,6670.0,6480.0,6582.0,50.0,6586.4,50
2024-04-12,6625.0,6861.0,6625.0,6853.0,54.0,6790.0,54
2024-04-15,6879.0,7118.0,6874.0,7020.0,92.0,7040.6,92
2024-04-16,7055.0,7168.0,6592.0,6724.0,47.0,7022.5,47
2024-04-17,6736.0,7086.0,6691.0,6954.0,23.0,6815.4,23
2024-04-18,7159.0,7417.0,7154.0,7379.0,260.0,7321.2,260
2024-04-19,7552.0,7762.0,7422.0,7632.0,233.0,7681.0,233
2024-04-22,7549.0,7581.0,7262.0,7353.0,59.0,7379.0,59
2024-04-23,7307.0,7307.0,6828.0,7129.0,158.0,7068.2,158
2024-04-24,7329.0,8023.0,7327.0,7652.0,181.0,7578.8,177
2024-04-25,8000.0,8001.0,7457.0,7664.0,258.0,7858.4,258
2024-04-26,7706.0,7866.0,7567.0,7600.0,104.0,7735.0,104
2024-04-29,7505.0,7532.0,6352.0,6591.0,404.0,6874.3,327
2024-04-30,6500.0,6917.0,5748.0,6913.0,773.0,6413.6,754
2024-05-01,6951.0,7114.0,5864.0,6163.0,413.0,6458.4,413
2024-05-02,5691.0,6141.0,5403.0,5630.0,378.0,5804.0,376
2024-05-03,5436.0,6212.0,5298.0,6189.0,435.0,5804.8,435
2024-05-06,5891.0,6075.0,5628.0,5655.0,69.0,5858.3,69
2024-05-07,5640.0,6253.0,5574.0,6120.0,337.0,6115.1,337
2024-05-08,6161.0,6305.0,5831.0,6026.0,82.0,6131.1,82
2024-05-09,6084.0,6213.0,5795.0,6127.0,51.0,6068.5,51
2024-05-10,6093.0,6283.0,6008.0,6252.0,114.0,6162.1,114
2024-05-13,6198.0,6198.0,5307.0,5421.0,568.0,5689.2,568
2024-05-14,5475.0,5727.0,5410.0,5460.0,270.0,5558.4,270
2024-05-15,5555.0,5825.0,5442.0,5779.0,221.0,5637.7,221
2024-05-16,5729.0,5729.0,5413.0,5517.0,155.0,5524.2,155
2024-05-17,5481.0,5700.0,5361.0,5512.0,74.0,5515.3,73
2024-05-20,5470.0,5512.0,5180.0,5367.0,219.0,5278.4,219
2024-05-21,5217.0,5505.0,5155.0,5423.0,98.0,5343.7,98
2024-05-22,5402.0,5564.0,5381.0,5549.0,96.0,5469.0,96
2024-05-23,5349.0,6100.0,5335.0,5911.0,163.0,5818.8,163
2024-05-24,6011.0,6103.0,5729.0,5974.0,139.0,5879.0,139
2024-05-28,5970.0,6033.0,5762.0,6026.0,211.0,5923.0,211
2024-05-29,6022.0,6334.0,6010.0,6236.0,237.0,6204.9,237
2024-05-30,6245.0,6464.0,6062.0,6297.0,84.0,6242.3,84
2024-05-31,6155.0,6365.0,6097.0,6322.0,70.0,6232.2,70
2024-06-03,6211.0,6562.0,6211.0,6515.0,175.0,6455.4,175
2024-06-04,6294.0,6490.0,6126.0,6410.0,241.0,6334.2,241
2024-06-05,6266.0,6348.0,6158.0,6311.0,134.0,6266.2,134
2024-06-06,6343.0,6603.0,6342.0,6543.0,38.0,6472.8,38
2024-06-07,6558.0,6584.0,6420.0,6517.0,82.0,6502.2,82
2024-06-10,6357.0,6471.0,6150.0,6320.0,234.0,6328.1,234
